id,categoria,titulo_oficial,archivo_oficial,url_pdf
ri_fcem,regimen_informativo,RI - Facturas de Crédito Electrónicas MiPyME.,t-RI-FCEM.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-RI-FCEM.pdf
ri_icpipsp,regimen_informativo,RI - Informe de Contadores Públicos Independientes sobre el cumplimiento de las Normas del BCRA por parte de los Proveedores de Servicios de Pago.,t-RI-ICPIPSP.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-RI-ICPIPSP.pdf
ri_iesinap,regimen_informativo,RI - Informe especial de cumplimiento requerido por el punto 1.5.5.10. de las normas sobre “Sistema Nacional de Pagos Transferencias Normas complementarias”,t-RI-IESINAP.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-RI-IESINAP.pdf
ri_ieccm,regimen_informativo,"RI - Informe Especial respecto del cumplimiento de Capitales Mínimos (Comunicación ""A"" 7584)",t-RI-IECCM.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-RI-IECCM.pdf
ri_iepsp,regimen_informativo,"RI - Informe especial sobre el cumplimiento de las normas sobre ""Proveedores no financieros de crédito"".",t-RI-IEPSP.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-RI-IEPSP.pdf
manual,regimen_informativo,RI - Manual de Cuentas vigente al 31/12/17.,manual.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/manual.pdf
plandecuentas,regimen_informativo,RI - Plan de cuentas.,plandecuentas.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/plandecuentas.pdf
ri_pnp,regimen_informativo,RI - Plan de negocios y proyecciones.,t-ri-pnp.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-ri-pnp.pdf
ri_pfmipyme,regimen_informativo,RI - Plataformas para el Financiamiento MiPyME.,t-RI-PFMIPYME.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-RI-PFMIPYME.pdf
ri_laft,regimen_informativo,"RI - Prevención del Lavado de Activos, del Financiamiento del Terrorismo y Otras Actividades Ilícitas.",t-RI-LAFT.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-RI-LAFT.pdf
ri_pscpp,regimen_informativo,RI - Proveedores de servicios de créditos entre particulares a través de plataformas (RI-PSCPP),t-RI-PSCPP.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-RI-PSCPP.pdf
ri_pspapt,regimen_informativo,RI - Proveedores de Servicios de Pago - Adquirentes de pagos con tarjeta,t-RI-PSPAPT.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-RI-PSPAPT.pdf
ri_pspii,regimen_informativo,RI - Proveedores de Servicios de Pago - Información Contable,t-RI-PSPII.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-RI-PSPII.pdf
ri_psprca,regimen_informativo,RI - Proveedores de Servicios de Pago – Redes de Cajeros Automáticos,t-RI-PSPRCA.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-RI-PSPRCA.pdf
ri_psp,regimen_informativo,RI - Proveedores de servicios de pago que ofrecen cuentas de pago.,t-RI-PSP.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-RI-PSP.pdf
ri_acsf,regimen_informativo,RI Cont. Mensual - Agencias complementarias de servicios financieros.,t-RI-ACSF.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-RI-ACSF.pdf
ri_ao,regimen_informativo,RI Cont. Mensual - Anticipo de Operaciones.,t-RI-AO.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-RI-AO.pdf
ribspc,regimen_informativo,RI Cont. Mensual - Balance de Saldos.,t-RIbspc.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-RIbspc.pdf
ri_bdp,regimen_informativo,RI Cont. Mensual - Base de Datos Padrón,t-RI-BDP.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-RI-BDP.pdf
ri_chr,regimen_informativo,RI Cont. Mensual - Cheques Rechazados,t-RI-CHR.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-RI-CHR.pdf
